名称,獲得回数,獲得人数
片美濃囲い,778383,29156
美濃囲い,671414,25991
金矢倉,312774,22568
高美濃囲い,260527,17696
振り飛車穴熊,142816,13779
舟囲い,121554,9147
銀冠,93406,13840
居飛車穴熊,88649,11639
総矢倉,80402,13039
中住まい,51568,6449
金無双,50509,7774
カニ囲い,36915,7758
左美濃,35623,8056
天守閣美濃,31040,4951
いちご囲い,30016,7609
ちょんまげ美濃,27605,8442
ボナンザ囲い,24376,7602
木村美濃,23557,5574
雁木囲い,22384,4165
右矢倉,20325,6384
片矢倉,17375,6420
箱入り娘,14244,3507
中原玉,11245,2834
菱矢倉,11029,4301
矢倉穴熊,8093,3564
銀冠穴熊,7734,2641
ダイヤモンド美濃,7706,3525
菊水矢倉,7461,1895
銀立ち矢倉,6619,3480
アヒル囲い,5805,1201
銀美濃,5741,3194
坊主美濃,5015,2743
銀矢倉,4436,2591
四枚美濃,4342,1566
松尾流穴熊,3803,1418
ミレニアム囲い,1914,1005
ビッグ４,1637,971
